ID Obat;Nama Obat;Jenis Obat;Bentuk Obat;Kategori Obat;Dosis;Harga;Tanggal Expired;Jumlah Stok;Permintaan Bulanan;Waktu Reorder (hari);Jumlah Reorder;Penjualan
1;Atorvastatin;Antipiretik;Sirup;Tradisional;10 mg;5000;2026-02-20;200;20;30;30;Tidak
2;Omeprazole;Antihipertensi;Kapsul;Resep;50 mg;25000;2025-07-14;10;30;30;300;Ya
3;Amlodipine;Antibiotik;Kapsul;Resep;100 mg;10000;2024-11-23;100;5;15;100;Tidak
4;Ciprofloxacin;Antibiotik;Tablet;Herbal;10 mg;5000;2025-12-22;100;30;45;50;Tidak
5;Atorvastatin;Analgesik;Sirup;Resep;10 mg;5000;2024-12-13;10;30;7;20;Ya
6;Simvastatin;Antipiretik;Injeksi;Resep;500 mg;25000;2024-08-04;20;50;15;100;Ya
7;Simvastatin;Antihipertensi;Injeksi;Tradisional;10 mg;20000;2026-01-29;30;20;30;500;Tidak
8;Ibuprofen;Antipiretik;Sirup;Tradisional;100 mg;25000;2024-10-22;30;5;15;500;Tidak
9;Omeprazole;Antipiretik;Tablet;Tradisional;500 mg;25000;2025-10-12;10;30;30;50;Ya
10;Paracetamol;Antibiotik;Salep;Bebas;10 mg;10000;2024-10-04;100;10;7;100;Tidak
11;Paracetamol;Analgesik;Salep;Resep;250 mg;20000;2026-03-15;100;5;45;500;Ya
12;Ibuprofen;Antipiretik;Kapsul;Bebas;250 mg;15000;2026-01-13;10;20;7;200;Tidak
13;Amlodipine;Antibiotik;Injeksi;Bebas;50 mg;25000;2025-10-20;300;5;30;30;Ya
14;Lisinopril;Analgesik;Salep;Herbal;10 mg;20000;2024-10-20;20;30;7;500;Ya
15;Simvastatin;Antibiotik;Kapsul;Resep;100 mg;25000;2024-09-15;200;10;30;300;Ya
16;Lisinopril;Antiinflamasi;Sirup;Bebas;10 mg;5000;2025-06-01;300;30;15;20;Tidak
17;Amoxicillin;Antibiotik;Injeksi;Herbal;250 mg;15000;2024-08-13;300;15;15;200;Tidak
18;Amlodipine;Analgesik;Tablet;Herbal;100 mg;10000;2025-08-12;50;20;15;10;Tidak
19;Metformin;Antibiotik;Tablet;Herbal;10 mg;5000;2025-01-30;30;15;30;30;Tidak
20;Amoxicillin;Antihipertensi;Injeksi;Resep;100 mg;15000;2026-04-08;10;50;45;10;Tidak
21;Simvastatin;Antipiretik;Injeksi;Bebas;50 mg;15000;2026-01-04;10;50;45;200;Tidak
22;Amoxicillin;Analgesik;Tablet;Resep;5 mg;15000;2024-09-09;100;20;30;300;Ya
23;Metformin;Antipiretik;Injeksi;Herbal;250 mg;25000;2024-10-03;100;30;30;10;Tidak
24;Ciprofloxacin;Analgesik;Sirup;Resep;50 mg;25000;2026-05-30;100;30;15;100;Tidak
25;Amoxicillin;Analgesik;Tablet;Bebas;500 mg;25000;2025-01-13;200;15;30;20;Tidak
26;Lisinopril;Antihipertensi;Kapsul;Resep;100 mg;25000;2024-10-09;50;5;7;100;Tidak
27;Simvastatin;Antipiretik;Injeksi;Herbal;50 mg;5000;2024-08-26;20;5;30;100;Ya
28;Amoxicillin;Antiinflamasi;Sirup;Bebas;100 mg;25000;2025-09-02;200;20;15;10;Tidak
29;Ibuprofen;Antibiotik;Sirup;Tradisional;10 mg;10000;2025-11-16;20;15;30;200;Ya
30;Metformin;Antihipertensi;Sirup;Herbal;250 mg;25000;2025-02-27;300;10;45;500;Ya
31;Metformin;Antibiotik;Salep;Bebas;10 mg;5000;2026-04-17;200;30;45;30;Ya
32;Amoxicillin;Antiinflamasi;Injeksi;Bebas;500 mg;20000;2026-06-18;10;20;45;200;Ya
33;Amoxicillin;Analgesik;Sirup;Resep;250 mg;15000;2025-08-04;10;5;15;100;Ya
34;Ciprofloxacin;Antiinflamasi;Kapsul;Bebas;250 mg;10000;2025-03-12;500;5;30;300;Ya
35;Simvastatin;Analgesik;Kapsul;Resep;10 mg;20000;2024-09-28;200;20;45;20;Ya
36;Amlodipine;Antiinflamasi;Tablet;Herbal;50 mg;20000;2025-06-05;500;10;45;30;Ya
37;Atorvastatin;Antipiretik;Salep;Herbal;5 mg;5000;2026-06-27;200;50;7;100;Ya
38;Ibuprofen;Analgesik;Injeksi;Tradisional;50 mg;20000;2025-03-12;50;50;30;30;Ya
39;Metformin;Analgesik;Injeksi;Bebas;50 mg;15000;2026-07-04;50;20;45;20;Tidak
40;Atorvastatin;Antihipertensi;Sirup;Bebas;250 mg;20000;2024-09-05;20;50;7;50;Ya
41;Omeprazole;Antihipertensi;Injeksi;Bebas;5 mg;10000;2024-09-30;20;50;30;500;Tidak
42;Ibuprofen;Antihipertensi;Injeksi;Resep;50 mg;10000;2026-05-30;300;10;15;10;Ya
43;Paracetamol;Antiinflamasi;Tablet;Resep;250 mg;15000;2025-02-22;300;20;7;100;Ya
44;Ciprofloxacin;Antiinflamasi;Injeksi;Tradisional;250 mg;5000;2025-02-05;50;30;7;30;Ya
45;Amlodipine;Antipiretik;Injeksi;Resep;50 mg;20000;2025-03-12;30;50;45;500;Tidak
46;Metformin;Antiinflamasi;Tablet;Bebas;50 mg;15000;2025-05-26;300;15;7;300;Tidak
47;Ibuprofen;Antibiotik;Injeksi;Tradisional;250 mg;25000;2025-02-22;100;5;15;50;Tidak
48;Paracetamol;Analgesik;Kapsul;Bebas;5 mg;10000;2025-12-05;300;50;30;100;Ya
49;Paracetamol;Analgesik;Sirup;Bebas;250 mg;20000;2025-06-07;100;10;30;300;Tidak
50;Omeprazole;Antibiotik;Salep;Tradisional;250 mg;15000;2024-12-25;100;10;15;30;Tidak
51;Amlodipine;Antiinflamasi;Tablet;Tradisional;100 mg;25000;2025-04-29;100;20;7;200;Tidak
52;Lisinopril;Antipiretik;Injeksi;Herbal;250 mg;15000;2024-10-04;20;20;7;30;Tidak
53;Ibuprofen;Antibiotik;Injeksi;Tradisional;50 mg;20000;2024-10-04;100;10;7;300;Ya
54;Ibuprofen;Antipiretik;Sirup;Tradisional;250 mg;15000;2025-08-28;200;50;30;30;Tidak
55;Lisinopril;Antipiretik;Salep;Bebas;250 mg;10000;2025-08-11;200;50;45;200;Ya
56;Paracetamol;Antihipertensi;Injeksi;Bebas;250 mg;5000;2025-09-24;10;10;7;200;Tidak
57;Ciprofloxacin;Antiinflamasi;Kapsul;Bebas;10 mg;10000;2024-09-28;50;10;45;200;Tidak
58;Paracetamol;Antipiretik;Sirup;Bebas;5 mg;15000;2025-08-20;200;20;30;10;Tidak
59;Lisinopril;Antibiotik;Sirup;Tradisional;5 mg;10000;2025-10-01;50;50;45;20;Ya
60;Atorvastatin;Analgesik;Kapsul;Herbal;50 mg;10000;2025-04-17;20;15;7;50;Tidak
61;Atorvastatin;Antihipertensi;Tablet;Herbal;500 mg;20000;2025-12-07;30;20;45;30;Ya
62;Lisinopril;Antipiretik;Salep;Herbal;50 mg;10000;2025-08-13;30;15;45;50;Ya
63;Amoxicillin;Antibiotik;Kapsul;Herbal;100 mg;20000;2026-01-30;200;15;7;20;Tidak
64;Omeprazole;Antipiretik;Salep;Herbal;100 mg;25000;2025-10-22;30;15;7;50;Ya
65;Lisinopril;Analgesik;Tablet;Tradisional;5 mg;5000;2025-07-05;100;50;45;10;Tidak
66;Paracetamol;Antibiotik;Tablet;Bebas;5 mg;5000;2025-07-08;30;50;15;300;Tidak
